date,platform,campaign_name,campaign_type,industry,device,impressions,clicks,cost,conversions,revenue
2024-11-26,TikTok Ads,Campaign_88,Search,Healthcare,Tablet,15795,860,2993.29,270.0,2334.68
2025-03-19,Google Ads,Campaign_33,Video,Finance,Mobile,1685,1332,4692.76,769.0,
2024-02-20,TikTok Ads,Campaign_116,Search,EdTech,Mobile,8666,2558,1831.81,2047.0,7191.47
2024-09-21,Meta Ads,Campaign_53,Video,Healthcare,Tablet,3890,646,66.32,20.0,186.79
2024-01-02,Meta Ads,Campaign_6,Video,Finance,Desktop,15787,10748,4546.6,775.0,15061.12
2025-03-31,Meta Ads,Campaign_87,Search,Finance,Mobile,9692,6873,4474.14,,20622.97
2024-06-05,TikTok Ads,Campaign_45,Search,Ecommerce,Tablet,8529,878,4826.28,52.0,6660.25
2024-06-11,TikTok Ads,Campaign_33,Shopping,Ecommerce,Desktop,2568,1367,27.61,1152.0,97.58
2025-02-10,Meta Ads,Campaign_88,Search,EdTech,Desktop,6184,3099,2247.25,2182.0,
2025-01-27,TikTok Ads,Campaign_15,Video,Finance,Mobile,9762,5056,2806.39,2690.0,6928.92
2024-08-18,Google Ads,Campaign_15,Shopping,Ecommerce,Mobile,15934,863,2816.38,742.0,1962.05
2024-10-10,Meta Ads,Campaign_62,Shopping,Healthcare,Desktop,16198,9914,3121.77,3157.0,1646.64
2024-08-20,TikTok Ads,Campaign_103,Video,Healthcare,Tablet,10230,5592,1360.66,,3.54
2024-08-20,Google Ads,Campaign_62,Search,Finance,Desktop,3748,3296,4714.55,1257.0,12229.32
2024-08-07,Meta Ads,Campaign_87,Search,Healthcare,Mobile,11649,7554,4988.7,7280.0,24360.2
2024-07-21,TikTok Ads,Campaign_17,Shopping,Finance,Mobile,13949,5249,4928.25,5172.0,16562.26
2024-07-05,Meta Ads,Campaign_80,Search,EdTech,Tablet,19315,7777,4082.16,197.0,3076.27
2025-02-20,TikTok Ads,Campaign_82,Search,EdTech,Mobile,14243,6546,1132.48,1369.0,987.33
2024-02-29,Google Ads,Campaign_2,Search,Healthcare,Desktop,6616,6065,1289.71,5534.0,5269.9
2024-02-23,Google Ads,Campaign_24,Shopping,Ecommerce,Desktop,19492,7158,3501.79,2056.0,14993.34
2024-07-12,Meta Ads,Campaign_35,Search,Ecommerce,Mobile,15586,11375,4868.32,,7433.04
2024-05-07,Google Ads,Campaign_48,Shopping,EdTech,Desktop,5699,4493,1832.34,1300.0,6605.04
