campaign_id,campaign_name,campaign_type,industry
1,Campaign_1,Search,Ecommerce
2,Campaign_1,Search,Edtech
3,Campaign_1,Search,Finance
4,Campaign_1,Search,Healthcare
5,Campaign_1,Shopping,Ecommerce
6,Campaign_1,Shopping,Edtech
7,Campaign_1,Shopping,Finance
8,Campaign_1,Shopping,Healthcare
9,Campaign_1,Video,Ecommerce
10,Campaign_1,Video,Edtech
11,Campaign_1,Video,Finance
12,Campaign_1,Video,Healthcare
13,Campaign_10,Search,Ecommerce
14,Campaign_10,Search,Edtech
15,Campaign_10,Search,Finance
16,Campaign_10,Search,Healthcare
17,Campaign_10,Shopping,Ecommerce
18,Campaign_10,Shopping,Edtech
19,Campaign_10,Shopping,Finance
20,Campaign_10,Shopping,Healthcare
21,Campaign_10,Video,Ecommerce
22,Campaign_10,Video,Edtech
23,Campaign_10,Video,Finance
24,Campaign_100,Search,Ecommerce
25,Campaign_100,Search,Edtech
26,Campaign_100,Search,Finance
27,Campaign_100,Search,Healthcare
28,Campaign_100,Shopping,Ecommerce
29,Campaign_100,Shopping,Edtech
30,Campaign_100,Shopping,Finance
31,Campaign_100,Shopping,Healthcare
32,Campaign_100,Video,Ecommerce
33,Campaign_100,Video,Edtech
34,Campaign_100,Video,Finance
35,Campaign_100,Video,Healthcare
36,Campaign_101,Search,Ecommerce
37,Campaign_101,Search,Edtech
38,Campaign_101,Search,Finance
39,Campaign_101,Search,Healthcare
40,Campaign_101,Shopping,Ecommerce
41,Campaign_101,Shopping,Edtech
42,Campaign_101,Shopping,Finance
43,Campaign_101,Shopping,Healthcare
44,Campaign_101,Video,Ecommerce
45,Campaign_101,Video,Edtech
46,Campaign_101,Video,Finance
47,Campaign_101,Video,Healthcare
48,Campaign_102,Search,Ecommerce
49,Campaign_102,Search,Edtech
50,Campaign_102,Search,Finance
51,Campaign_102,Search,Healthcare
52,Campaign_102,Shopping,Ecommerce
53,Campaign_102,Shopping,Edtech
54,Campaign_102,Shopping,Finance
55,Campaign_102,Shopping,Healthcare
56,Campaign_102,Video,Ecommerce
57,Campaign_102,Video,Edtech
58,Campaign_102,Video,Finance
