date_id,platform_id,device_id,campaign_id,impressions,clicks,cost,conversions,revenue
331,3,3,1259,15795,860,2993.29,270.0,2334.68
444,1,2,554,1685,1332,4692.76,769.0,0.0
51,3,2,228,8666,2558,1831.81,2047.0,7191.47
265,2,3,818,3890,646,66.32,20.0,186.79
2,2,1,899,15787,10748,4546.6,775.0,15061.12
456,2,2,1246,9692,6873,4474.14,0.0,20622.97
157,3,3,699,8529,878,4826.28,52.0,6660.25
163,3,1,549,2568,1367,27.61,1152.0,97.58
407,2,1,1257,6184,3099,2247.25,2182.0,0.0
393,3,2,317,9762,5056,2806.39,2690.0,6928.92
231,1,2,311,15934,863,2816.38,742.0,1962.05
284,2,1,932,16198,9914,3121.77,3157.0,1646.64
233,3,3,71,10230,5592,1360.66,0.0,3.54
233,1,1,927,3748,3296,4714.55,1257.0,12229.32
220,2,2,1247,11649,7554,4988.7,7280.0,24360.2
203,3,2,337,13949,5249,4928.25,5172.0,16562.26
187,2,3,1161,19315,7777,4082.16,197.0,3076.27
417,3,2,1185,14243,6546,1132.48,1369.0,987.33
60,1,1,369,6616,6065,1289.71,5534.0,5269.9
54,1,1,430,19492,7158,3501.79,2056.0,14993.34
194,2,2,568,15586,11375,4868.32,0.0,7433.04
128,1,1,740,5699,4493,1832.34,1300.0,6605.04
27,2,3,398,19830,17429,4894.46,6893.0,22174.32
17,2,1,1335,9151,5600,2495.97,4548.0,9591.44
116,3,3,1224,14434,14056,2140.92,0.0,10315.17
288,3,3,1238,1816,1758,2850.31,565.0,0.0
246,3,1,1336,16538,10729,4243.35,1409.0,0.0
36,1,1,381,5986,1841,407.97,920.0,0.0
447,2,3,785,4495,2701,138.08,971.0,302.72
264,1,1,902,17532,9907,1800.95,4777.0,0.0
370,2,3,513,876,349,691.77,46.0,0.0
393,1,2,11,14098,11867,126.75,5177.0,529.8
192,3,3,1015,13407,7805,3300.99,5237.0,15760.0
220,1,1,725,8130,3147,3789.23,153.0,0.0
222,1,1,424,13245,11251,2458.08,11151.0,2128.72
336,3,3,369,2849,2809,2696.89,2489.0,8304.41
65,1,2,649,851,663,4056.02,379.0,12694.12
264,1,1,460,10636,4107,472.21,3373.0,168.08
376,1,1,390,417,114,3464.45,104.0,16224.85
96,3,2,928,5988,2504,3658.24,2239.0,0.0
217,2,2,289,5644,2326,1888.64,2264.0,4689.13
52,3,3,167,13923,395,1774.53,232.0,6004.74
42,2,1,625,4491,2938,3957.9,1492.0,1804.92
442,1,2,54,9348,7330,3529.16,5334.0,12140.84
165,2,1,1196,17575,6313,3531.21,5512.0,0.0
364,2,1,622,8691,7494,1751.09,4312.0,4217.21
456,1,3,88,15485,11714,2343.3,4268.0,0.0
58,1,3,533,10188,504,414.46,190.0,904.22
143,3,1,3,11003,5348,377.17,1250.0,408.87
408,1,1,1159,3330,2703,1404.82,470.0,6253.3
145,1,2,548,3719,2745,4871.97,539.0,17007.11
303,1,1,983,2779,924,4112.69,0.0,14923.3
282,3,3,1277,5124,1015,2401.85,800.0,4524.35
311,2,3,1316,13772,4000,669.26,1633.0,0.0
85,2,3,1074,9860,5989,3630.6,1460.0,6859.12
250,2,3,826,17100,4544,1343.36,1823.0,0.0
255,3,2,418,4363,1984,442.04,0.0,1303.92
294,2,3,1397,12173,4673,681.86,2122.0,0.0
